year,imdb_id,rating,name,watched
1957,0050083,3,12 разгневени мъже,true
1967,0062136,3,Време за развлечение,true
1975,0073486,4,Полет над кукувиче гнездо,true
1979,0079261,4,Коса,true
1989,0097165,1,Общество на мъртвите поети,true
1992,0105323,4,Усещане за жена,true
1993,0108052,3,Списъкът на Шиндлер,true
1999,0137523,4,Боен клуб,true
2000,0262690,1,Писмо до Америка,true
2008,0795421,2,Mamma Mia!,true
2009,1426361,2,Източни пиеси,true
2009,1320082,1,Концертът,true
2010,1375666,3,Генезис,true
2010,1670703,3,Стъпки в пясъка,true
2011,1833647,2,Аве,true
2011,1980999,2,Кецове,true
2011,1675434,3,Недосегаемите,true
2011,1680019,2,Тилт,true
2012,2358990,2,Джулай,true
2013,1731141,2,Играта на Ендер,true
2013,0816442,2,Крадецът на книги,true
2014,2084970,3,Игра на кодове,true
2014,1745787,1,Племето,true
2014,3674140,3,Солта на Земята,true
2015,3327994,4,Човек,true
2016,5786564,2,Един по-прост живот,true
2016,2543164,4,Първи контакт,true
2016,3783958,1,La La Land,true
2016,5420878,3,XIa,true
1999,0128278,5,Инстинкт,true
дървото на живота
detachment - Ина от Заедно в час
Светът е голям и щастие дебне отвсякъде, Георги Стоев
Историята на Рон Кларк, от учител на Заедно в час в ролята на музеен експонат на втория или третия ден от летния институт 2017
Враг (Enemy), Георги Стоев
1988,0097223,0,Циганско време,false
1998,0118843,0,"Чeрна котка, бял котарак",false
